Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
15,5,0.3,0.294,0.35,0.18,0.24,0.272,0.328,0.311,0.376,0.189,0.253,0.301
15,6,0.28,0.294,0.33,0.22,0.16,0.256,0.299,0.311,0.353,0.232,0.167,0.28
16,1,1.3,1.0,1.865,0.227,0.78,1.034,1.644,1.219,2.563,0.242,0.909,1.18
16,2,1.02,0.78,1.805,0.5,0.68,0.957,1.231,0.92,2.458,0.554,0.774,1.07
16,3,0.84,0.84,1.785,0.407,0.68,0.91,0.991,1.005,2.423,0.444,0.774,1.039
16,4,0.82,0.68,1.765,0.32,0.68,0.853,0.96,0.799,2.388,0.346,0.775,0.999
16,5,0.74,0.82,1.785,0.367,0.64,0.87,0.857,0.964,2.423,0.397,0.725,1.003
16,6,0.72,0.7,1.765,0.467,0.7,0.87,0.831,0.82,2.389,0.517,0.8,0.998
17,1,0.32,0.336,0.565,1.062,0.5,0.557,0.345,0.365,0.632,1.468,0.56,0.687
17,2,0.44,0.376,0.645,1.062,0.36,0.577,0.484,0.409,0.728,1.468,0.389,0.698
17,3,0.48,0.396,0.585,1.022,0.46,0.589,0.529,0.431,0.658,1.423,0.507,0.705
17,4,0.42,0.456,0.625,1.022,0.36,0.577,0.459,0.5,0.704,1.423,0.389,0.694
17,5,0.48,0.416,0.605,1.022,0.36,0.577,0.527,0.453,0.678,1.423,0.389,0.69
17,6,0.5,0.436,0.625,1.062,0.38,0.601,0.552,0.478,0.703,1.468,0.421,0.724
18,1,0.1,0.936,0.445,0.667,0.26,0.481,0.104,1.134,0.486,0.796,0.274,0.604
18,2,0.14,1.176,0.385,0.48,0.28,0.492,0.145,1.465,0.419,0.554,0.296,0.636
18,3,0.12,1.396,0.405,0.827,0.36,0.621,0.125,1.789,0.44,1.015,0.391,0.791
18,4,0.08,1.356,0.365,0.487,0.28,0.513,0.082,1.726,0.392,0.579,0.306,0.71
18,5,0.08,1.416,0.365,0.467,0.36,0.537,0.082,1.819,0.392,0.523,0.391,0.719
18,6,0.08,1.456,0.365,0.467,0.32,0.537,0.082,1.881,0.392,0.523,0.345,0.731
19,1,1.22,0.604,1.075,0.698,1.315,0.982,1.53,0.679,1.328,0.8,1.738,1.066
19,2,1.48,0.866,0.995,0.827,1.235,1.08,1.936,1.05,1.201,0.973,1.622,1.17
19,3,1.24,1.024,1.075,0.787,1.215,1.068,1.562,1.252,1.328,0.912,1.585,1.129
19,4,1.36,1.044,0.875,0.687,1.255,1.044,1.734,1.271,1.031,0.795,1.635,1.109
19,5,1.32,1.164,0.855,0.807,1.135,1.056,1.675,1.446,1.006,0.938,1.457,1.109
19,6,1.2,1.164,0.955,0.727,1.355,1.08,1.501,1.437,1.142,0.835,1.757,1.122
2,1,0.24,0.693,0.44,0.251,1.47,0.619,0.254,0.806,0.486,0.27,1.905,0.791
2,2,0.44,0.853,0.5,0.151,1.57,0.703,0.486,1.019,0.57,0.157,2.067,0.882
2,3,0.38,0.993,0.52,0.111,1.65,0.731,0.414,1.194,0.598,0.114,2.204,0.928
2,4,0.36,0.973,0.46,0.111,1.53,0.687,0.39,1.19,0.517,0.114,2.024,0.877
