Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
15,6,0.38,0.314,0.23,0.533,0.68,0.428,0.417,0.339,0.244,0.593,0.806,0.495
16,1,1.02,0.7,1.445,0.627,0.84,0.926,1.23,0.804,1.89,0.716,0.99,0.997
16,2,0.74,0.52,1.505,0.66,0.68,0.821,0.876,0.582,1.973,0.754,0.791,0.922
16,3,0.66,0.58,1.185,0.72,0.82,0.793,0.774,0.673,1.499,0.833,0.974,0.88
16,4,0.78,0.6,1.405,0.827,0.64,0.85,0.923,0.674,1.803,0.965,0.736,0.92
16,5,0.68,0.62,1.605,0.787,0.82,0.902,0.806,0.724,2.168,0.913,0.973,1.01
16,6,0.78,0.6,1.305,0.867,0.74,0.858,0.923,0.694,1.663,1.024,0.86,0.922
17,1,0.24,0.274,0.575,0.253,0.46,0.361,0.262,0.292,0.642,0.289,0.504,0.419
17,2,0.44,0.516,0.415,0.124,0.4,0.379,0.486,0.57,0.465,0.13,0.44,0.441
17,3,0.36,0.416,0.615,0.073,0.34,0.361,0.397,0.464,0.705,0.076,0.372,0.453
17,4,0.24,0.474,0.615,0.124,0.44,0.379,0.256,0.529,0.702,0.13,0.48,0.446
17,5,0.32,0.394,0.735,0.073,0.6,0.425,0.349,0.433,0.892,0.075,0.707,0.532
17,6,0.5,0.556,1.065,0.216,0.76,0.62,0.6,0.617,1.35,0.227,0.93,0.75
18,1,0.5,1.096,0.485,0.293,0.52,0.579,0.585,1.356,0.548,0.315,0.584,0.7
18,2,0.44,1.076,0.385,0.44,0.7,0.608,0.518,1.322,0.421,0.485,0.849,0.735
18,3,0.42,1.396,0.425,0.493,0.26,0.599,0.48,1.796,0.467,0.543,0.28,0.751
18,4,0.42,1.376,0.335,0.493,0.46,0.617,0.483,1.761,0.362,0.543,0.503,0.748
18,5,0.58,1.236,0.545,0.3,0.6,0.652,0.675,1.572,0.621,0.322,0.715,0.782
18,6,0.7,1.456,0.375,0.613,0.76,0.781,0.833,1.883,0.416,0.691,0.93,0.912
19,1,1.0,0.924,1.315,0.998,1.355,1.118,1.214,1.123,1.713,1.202,1.804,1.188
19,2,1.02,1.004,1.155,0.787,1.235,1.04,1.268,1.229,1.44,0.94,1.63,1.127
19,3,1.14,1.024,0.915,0.938,1.575,1.118,1.411,1.252,1.104,1.115,2.143,1.187
19,4,0.8,1.284,1.075,1.018,1.505,1.136,0.947,1.651,1.361,1.235,2.058,1.22
19,5,0.88,1.024,1.255,1.038,1.505,1.14,1.058,1.261,1.636,1.266,2.067,1.215
