Participant,Rounds,O_MAE,C_MAE,E_MAE,A_MAE,N_MAE,Avg_MAE,O_RMSE,C_RMSE,E_RMSE,A_RMSE,N_RMSE,Avg_RMSE
25,1,0.4,0.444,0.125,2.333,0.5,0.761,0.432,0.484,0.128,3.422,0.55,1.102
25,2,0.4,0.444,0.125,2.333,0.5,0.761,0.432,0.484,0.128,3.422,0.55,1.102
25,3,0.4,0.444,0.125,2.333,0.5,0.761,0.432,0.484,0.128,3.422,0.55,1.102
25,4,0.4,0.444,0.125,2.333,0.5,0.761,0.432,0.484,0.128,3.422,0.55,1.102
25,5,0.4,0.444,0.125,2.333,0.5,0.761,0.432,0.484,0.128,3.422,0.55,1.102
25,6,0.4,0.444,0.125,2.333,0.5,0.761,0.432,0.484,0.128,3.422,0.55,1.102
26,1,1.5,0.778,0.875,1.556,1.375,1.217,1.95,0.899,1.028,2.04,1.753,1.259
26,2,1.5,0.778,0.875,1.556,1.375,1.217,1.95,0.899,1.028,2.04,1.753,1.259
26,3,1.5,0.778,0.875,1.556,1.375,1.217,1.95,0.899,1.028,2.04,1.753,1.259
26,4,1.5,0.778,0.875,1.556,1.375,1.217,1.95,0.899,1.028,2.04,1.753,1.259
26,5,1.5,0.778,0.875,1.556,1.375,1.217,1.95,0.899,1.028,2.04,1.753,1.259
26,6,1.5,0.778,0.875,1.556,1.375,1.217,1.95,0.899,1.028,2.04,1.753,1.259
27,1,1.0,1.111,0.875,1.0,0.875,0.972,1.2,1.358,1.028,1.2,1.028,0.976
27,2,1.0,1.111,0.875,1.0,0.875,0.972,1.2,1.358,1.028,1.2,1.028,0.976
27,3,1.0,1.111,0.875,1.0,0.875,0.972,1.2,1.358,1.028,1.2,1.028,0.976
27,4,1.0,1.111,0.875,1.0,0.875,0.972,1.2,1.358,1.028,1.2,1.028,0.976
27,5,1.0,1.111,0.875,1.0,0.875,0.972,1.2,1.358,1.028,1.2,1.028,0.976
27,6,1.0,1.111,0.875,1.0,0.875,0.972,1.2,1.358,1.028,1.2,1.028,0.976
28,1,0.2,1.333,0.5,1.889,0.125,0.809,0.208,1.689,0.55,2.602,0.128,1.063
